{LANGUAGE.ARAB},Arabe
{LANGUAGE.CATALAN},Catalan
{LANGUAGE.GERMAN},Allemand
{LANGUAGE.ENGLISH},Anglais
{LANGUAGE.SPANISH},Espagnol
{LANGUAGE.FRENCH},Français
{LANGUAGE.RUSSIAN},Russe
{TITLE.LOGIN},Connexion
{TITLE.REGISTER},Inscription utilisateur
{TITLE.GAMESELECTOR},Sélectionner le jeu
{TITLE.TICTACTOE},Tic Tac Toe
{TITLE.CONNECTFOUR},Puissance 4
{TITLE.MINESWEEPER},Démineur
{NICKNAME},Pseudo
{PASSWORD},Mot de passe
{EMAIL},E-mail
{LOGIN},Se connecter
{REGISTER},S'inscrire
{CREATEUSER},Créer un utilisateur
{SELECTLANGUAGE},Sélectionner la langue
{TICTACTOE},Tic Tac Toe
{CONNECTFOUR},Connect 4
{MINESWEEPER},Démineur
{TOPBAR.NAVIGATOR},Navigateur
{TOPBAR.NAVIGATOR.LEADERBOARD},Classement
{TOPBAR.NAVIGATOR.MAIN},Menu principal
{TOPBAR.LANGUAGES},Langues
{TOPBAR.ACCOUNT},Compte
{TOPBAR.ACCOUNT.LOGOUT},Se déconnecter
{TOPBAR.ACCOUNT.DELETEACCOUNT},Supprimer le compte  
{TOPBAR.ACCOUNT.DELETEACCOUNTCONF},Êtes-vous sûr de vouloir supprimer votre compte?
{SUCCESSREGISTER},Inscription réussie
{ERROR.DUPLICATEDEMAIL},L'email est déjà utilisé
{ERROR.DUPLICATEDNICK},Un utilisateur avec ce pseudo existe déjà
{ERROR.WRONGLOGIN},Nom d'utilisateur ou mot de passe incorrect
{ERROR.UNKNOWN},Erreur inconnue
{ERROR.RESSQL},Une erreur est survenue lors de l'enregistrement des informations dans la base de données
{CHOOSESYMBOL},Choisissez un symbole:
{TICTACTOE.WIN},Gagne!  
{TICTACTOE.ISTURN},Tour de :  
{TICTACTOE.CLOSE},Fermer le jeu  
{TICTACTOE.RESTART},Recommencer la partie  
{CONNECTFOUR.WIN},Gagne!  
{MINESWEEPER.LOSE},Tu as marché sur une mine :(  
{MINESWEEPER.WIN},Tu as gagné! :D 
{LEADERBORD.POSITION},Position  
{LEADERBORD.PLAYER},Joueur  
{LEADERBORD.PERCENTAGE},% Victoires  
{LEADERBORD.VICTORIES},Victoires totales  
{LEADERBORD.GAMES},Parties totales 